"FishID","GEN","GenRKM","Region","min_time","year"
"BS2021-001","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-002","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-004","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-006","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-007","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-009","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-010","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-010","Sacramento",150.086666666667,"Lower Sac R",2021-04-12 06:51:24,2021
"BS2021-013","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-014","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-015","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-016","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-019","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-021","Releasepoint",290.685625,"Butte Ck",2021-04-07 15:20:00,2021
"BS2021-022","Releasepoint",290.685625,"Butte Ck",2021-04-07 23:20:00,2021
"BS2021-023","Releasepoint",290.685625,"Butte Ck",2021-04-07 23:20:00,2021
"BS2021-024","Releasepoint",290.685625,"Butte Ck",2021-04-07 23:20:00,2021
"BS2021-025","Releasepoint",290.685625,"Butte Ck",2021-04-07 23:20:00,2021
"BS2023-001","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-002","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-002","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 20:52:30,2023
"BS2023-002","Endpoint",61.815,"End",2023-05-09 19:27:57,2023
"BS2023-003","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-003","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 10:14:55,2023
"BS2023-004","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-004","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 08:48:18,2023
"BS2023-004","Endpoint",61.815,"End",2023-05-09 18:18:52,2023
"BS2023-005","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-005","Sacramento",150.086666666667,"Lower Sac R",2023-05-07 14:45:42,2023
"BS2023-005","Endpoint",61.815,"End",2023-05-13 20:47:22,2023
"BS2023-006","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-007","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-007","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 14:00:01,2023
"BS2023-007","Endpoint",61.815,"End",2023-05-09 18:59:14,2023
"BS2023-008","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-008","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 10:36:03,2023
"BS2023-008","Endpoint",61.815,"End",2023-05-09 16:41:47,2023
"BS2023-009","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-010","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-011","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-012","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-012","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 14:55:20,2023
"BS2023-013","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-013","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 10:33:04,2023
"BS2023-013","Endpoint",61.815,"End",2023-05-09 14:59:32,2023
"BS2023-014","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-014","Sacramento",150.086666666667,"Lower Sac R",2023-05-07 15:04:53,2023
"BS2023-014","Endpoint",61.815,"End",2023-05-09 17:04:16,2023
"BS2023-015","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-015","Sacramento",150.086666666667,"Lower Sac R",2023-05-10 05:56:33,2023
"BS2023-015","Endpoint",61.815,"End",2023-05-13 23:41:46,2023
"BS2023-016","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-017","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-017","Endpoint",61.815,"End",2023-05-09 16:42:52,2023
"BS2023-018","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-018","Sacramento",150.086666666667,"Lower Sac R",2023-05-07 23:21:13,2023
"BS2023-018","Endpoint",61.815,"End",2023-05-10 21:01:19,2023
"BS2023-019","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-019","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 10:30:28,2023
"BS2023-019","Endpoint",61.815,"End",2023-05-09 21:05:12,2023
"BS2023-020","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-020","Sacramento",150.086666666667,"Lower Sac R",2023-05-12 01:01:10,2023
"BS2023-020","Endpoint",61.815,"End",2023-05-16 13:01:14,2023
"BS2023-021","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-022","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-022","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 11:25:10,2023
"BS2023-022","Endpoint",61.815,"End",2023-05-09 18:09:07,2023
"BS2023-023","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-024","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-025","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-026","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-026","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 19:28:48,2023
"BS2023-026","Endpoint",61.815,"End",2023-05-09 19:57:40,2023
"BS2023-027","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-027","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 11:47:29,2023
"BS2023-027","Endpoint",61.815,"End",2023-05-09 18:55:53,2023
"BS2023-028","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-028","Sacramento",150.086666666667,"Lower Sac R",2023-05-06 13:34:34,2023
"BS2023-028","Endpoint",61.815,"End",2023-05-09 17:15:59,2023
"BS2023-029","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-030","Releasepoint",290.685625,"Butte Ck",2023-05-03 16:35:00,2023
"BS2023-031","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-031","Sacramento",150.086666666667,"Lower Sac R",2023-05-11 08:23:15,2023
"BS2023-031","Endpoint",61.815,"End",2023-05-14 22:13:40,2023
"BS2023-032","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-033","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-033","Sacramento",150.086666666667,"Lower Sac R",2023-05-09 20:25:32,2023
"BS2023-033","Endpoint",61.815,"End",2023-05-16 15:37:24,2023
"BS2023-034","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-034","Sacramento",150.086666666667,"Lower Sac R",2023-05-09 08:25:08,2023
"BS2023-035","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-036","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-036","Sacramento",150.086666666667,"Lower Sac R",2023-05-09 15:49:11,2023
"BS2023-036","Endpoint",61.815,"End",2023-05-11 21:27:45,2023
"BS2023-037","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-038","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-039","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-040","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-040","Sacramento",150.086666666667,"Lower Sac R",2023-05-08 07:55:00,2023
"BS2023-040","Endpoint",61.815,"End",2023-05-10 21:32:09,2023
"BS2023-041","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-042","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-042","Sacramento",150.086666666667,"Lower Sac R",2023-05-08 08:32:45,2023
"BS2023-042","Endpoint",61.815,"End",2023-05-11 16:19:30,2023
"BS2023-043","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-044","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-044","Sacramento",150.086666666667,"Lower Sac R",2023-05-08 01:03:04,2023
"BS2023-044","Endpoint",61.815,"End",2023-05-12 20:31:06,2023
"BS2023-045","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-046","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-046","Sacramento",150.086666666667,"Lower Sac R",2023-05-10 06:05:24,2023
"BS2023-046","Endpoint",61.815,"End",2023-05-13 21:21:18,2023
"BS2023-047","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-048","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-049","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-050","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-051","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-051","Sacramento",150.086666666667,"Lower Sac R",2023-05-10 16:54:47,2023
"BS2023-051","Endpoint",61.815,"End",2023-05-13 19:17:17,2023
"BS2023-052","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-053","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-054","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-054","Sacramento",150.086666666667,"Lower Sac R",2023-05-08 12:53:13,2023
"BS2023-054","Endpoint",61.815,"End",2023-05-11 17:25:12,2023
"BS2023-055","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-056","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-057","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-058","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-058","Sacramento",150.086666666667,"Lower Sac R",2023-05-08 02:50:08,2023
"BS2023-058","Endpoint",61.815,"End",2023-05-10 19:12:24,2023
"BS2023-059","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-060","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-060","Sacramento",150.086666666667,"Lower Sac R",2023-05-19 02:07:55,2023
"BS2023-060","Endpoint",61.815,"End",2023-05-21 15:14:46,2023
"BS2023-061","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-061","Sacramento",150.086666666667,"Lower Sac R",2023-05-08 18:05:16,2023
"BS2023-061","Endpoint",61.815,"End",2023-05-11 19:47:34,2023
"BS2023-062","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-063","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-064","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-064","Sacramento",150.086666666667,"Lower Sac R",2023-05-09 17:06:34,2023
"BS2023-064","Endpoint",61.815,"End",2023-05-14 22:13:30,2023
"BS2023-065","Releasepoint",290.685625,"Butte Ck",2023-05-04 17:00:00,2023
"BS2023-065","Sacramento",150.086666666667,"Lower Sac R",2023-05-09 17:00:40,2023
"BS2023-065","Endpoint",61.815,"End",2023-05-13 23:09:22,2023
"BS2023-066","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-066","Sacramento",150.086666666667,"Lower Sac R",2023-05-11 16:11:59,2023
"BS2023-066","Endpoint",61.815,"End",2023-05-14 20:48:45,2023
"BS2023-067","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-068","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-069","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-070","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-071","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-072","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-072","Sacramento",150.086666666667,"Lower Sac R",2023-05-10 22:20:24,2023
"BS2023-072","Endpoint",61.815,"End",2023-05-15 21:16:27,2023
"BS2023-073","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-074","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-075","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-076","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-077","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-078","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-079","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-080","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-081","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-082","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-082","Sacramento",150.086666666667,"Lower Sac R",2023-05-20 00:28:33,2023
"BS2023-082","Endpoint",61.815,"End",2023-05-22 16:30:56,2023
"BS2023-083","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-084","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-085","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-086","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-086","Sacramento",150.086666666667,"Lower Sac R",2023-05-10 12:01:07,2023
"BS2023-086","Endpoint",61.815,"End",2023-05-14 22:48:52,2023
"BS2023-087","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-087","Sacramento",150.086666666667,"Lower Sac R",2023-05-11 22:14:41,2023
"BS2023-087","Endpoint",61.815,"End",2023-05-15 22:15:36,2023
"BS2023-088","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-089","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-090","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-091","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-092","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-092","Sacramento",150.086666666667,"Lower Sac R",2023-05-13 05:30:57,2023
"BS2023-093","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-094","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-095","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-096","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-097","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-098","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-099","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-100","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-101","Releasepoint",290.685625,"Butte Ck",2023-05-05 17:40:00,2023
"BS2023-102","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-103","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-104","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-105","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-106","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-107","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-108","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-109","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-110","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-111","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-112","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-112","Sacramento",150.086666666667,"Lower Sac R",2023-05-14 22:11:26,2023
"BS2023-112","Endpoint",61.815,"End",2023-05-18 15:48:13,2023
"BS2023-113","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-114","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-115","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-115","Sacramento",150.086666666667,"Lower Sac R",2023-05-14 11:51:51,2023
"BS2023-115","Endpoint",61.815,"End",2023-05-17 16:01:01,2023
"BS2023-116","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-117","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-118","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-119","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-120","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-121","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-121","Sacramento",150.086666666667,"Lower Sac R",2023-05-14 05:08:06,2023
"BS2023-121","Endpoint",61.815,"End",2023-05-18 02:15:03,2023
"BS2023-122","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-123","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-123","Sacramento",150.086666666667,"Lower Sac R",2023-05-13 07:45:28,2023
"BS2023-123","Endpoint",61.815,"End",2023-05-18 14:10:11,2023
"BS2023-124","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-125","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-126","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-127","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-127","Sacramento",150.086666666667,"Lower Sac R",2023-05-13 07:49:28,2023
"BS2023-127","Endpoint",61.815,"End",2023-05-17 01:57:47,2023
"BS2023-128","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-129","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-130","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-130","Sacramento",150.086666666667,"Lower Sac R",2023-05-13 02:30:17,2023
"BS2023-130","Endpoint",61.815,"End",2023-05-15 23:29:00,2023
"BS2023-131","Releasepoint",290.685625,"Butte Ck",2023-05-09 16:50:00,2023
"BS2023-131","Sacramento",150.086666666667,"Lower Sac R",2023-05-14 18:39:25,2023
"BS2023-131","Endpoint",61.815,"End",2023-05-17 23:53:13,2023
"BS2023-132","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-132","Sacramento",150.086666666667,"Lower Sac R",2023-05-14 01:32:23,2023
"BS2023-132","Endpoint",61.815,"End",2023-05-17 15:43:49,2023
"BS2023-133","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-134","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-135","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-136","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-137","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-138","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-139","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-140","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-141","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-142","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-143","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-144","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-144","Endpoint",61.815,"End",2023-05-18 14:39:05,2023
"BS2023-145","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-146","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-147","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-148","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-149","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-149","Sacramento",150.086666666667,"Lower Sac R",2023-05-14 11:52:23,2023
"BS2023-150","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-151","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-152","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-153","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-154","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-155","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-156","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-156","Sacramento",150.086666666667,"Lower Sac R",2023-05-14 04:54:25,2023
"BS2023-156","Endpoint",61.815,"End",2023-05-18 16:03:13,2023
"BS2023-157","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-158","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-159","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-160","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-161","Releasepoint",290.685625,"Butte Ck",2023-05-10 17:00:00,2023
"BS2023-161","Sacramento",150.086666666667,"Lower Sac R",2023-05-14 21:20:33,2023
"BS2023-162","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-163","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-164","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-165","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-166","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-167","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-168","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-169","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-170","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-171","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-172","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-173","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-174","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-175","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-176","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-177","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-178","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-179","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-180","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-181","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-181","Sacramento",150.086666666667,"Lower Sac R",2023-05-22 07:00:10,2023
"BS2023-182","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-183","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-184","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-185","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-186","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-187","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-188","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-189","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-190","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-191","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2023-192","Releasepoint",290.685625,"Butte Ck",2023-05-11 17:30:00,2023
"BS2024-001","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-002","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-003","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-004","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-005","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-006","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-007","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-008","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-009","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-010","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-011","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-012","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-013","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-014","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-015","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-016","Releasepoint",290.685625,"Butte Ck",2024-04-10 15:35:00,2024
"BS2024-016","Sacramento",150.086666666667,"Lower Sac R",2024-04-14 22:37:50,2024
